Rank,Film,Country of Origin,Weekend Gross,Distributor,% change on last week,Weeks on release,Number of cinemas,Site average,Total Gross to date
1,Scary Movie,USA,4188570.0,Paramount,,1,577,7259.0,4188570.0
2,The Amazing Digital Circus: The Last Act,Australia/USA,2684963.0,Piece of Magic,,1,569,4719.0,2684963.0
3,Masters Of The Universe,UK/USA,2654784.0,Sony Pictures,,1,610,4352.0,2654784.0
4,Backrooms,USA/Canada,2253638.0,A24,-0.47,2,635,3549.0,8651881.0
5,Obsession,USA/UK,1925958.0,Universal,0.22,4,519,3711.0,10333517.0
6,Star Wars: The Mandalorian And Grogu,USA,1382768.0,Disney,-0.48,3,636,2174.0,13987387.0
7,Michael,USA,1357610.0,Universal,-0.23,7,599,2266.0,50400463.0
8,The Sheep Detectives,UK/USA,554289.0,Sony Pictures,-0.23,5,654,848.0,9233957.0
9,The Devil Wears Prada 2,USA,543049.0,Disney,-0.38,6,468,1160.0,33330224.0
10,Tuner,Canada,433924.0,Black Bear,0.2,2,389,1115.0,1092879.0
11,Peddi,India,325238.0,Prathyangira Cinemas,,1,127,2561.0,325238.0
12,The Super Mario Galaxy Movie,USA/Japan,144545.0,Universal,-0.36,10,396,365.0,38269661.0
13,Savage House,UK,126282.0,Paramount,,1,308,410.0,126282.0
14,Mollywood Times,India,55332.0,TGS Cinemas,,1,84,659.0,55332.0
15,Hai Jawani Toh Ishq Hona Hai,UK/India,54721.0,Bakrania Media,,1,62,883.0,54721.0
