Rank,Film,Country of Origin,Weekend Gross,Distributor,% change on last week,Weeks on release,Number of cinemas,Site average,Total Gross to date,Start Date,End Date
1,Disclosure Day,USA,5504987.0,Universal,,1,724,7604.0,5504987.0,2026-06-12,2026-06-14
2,Obsession,USA/UK,1517066.0,Universal,-0.22,5,547,2773.0,13335722.0,2026-06-12,2026-06-14
3,Scary Movie,USA,1442603.0,Paramount,-0.66,2,594,2429.0,7201246.0,2026-06-12,2026-06-14
4,Backrooms,USA/Canada,968198.0,A24,-0.57,3,623,1554.0,10700066.0,2026-06-12,2026-06-14
5,Masters Of The Universe,UK/USA,869469.0,Sony Pictures,-0.67,2,605,1437.0,4255536.0,2026-06-12,2026-06-14
6,Michael,USA,733818.0,Universal,-0.46,8,536,1369.0,51758848.0,2026-06-12,2026-06-14
7,Star Wars: The Mandalorian And Grogu,USA,500713.0,Disney,-0.64,4,565,886.0,14962960.0,2026-06-12,2026-06-14
8,BTS WORLD TOUR 'ARIRANG' IN BUSAN: LIVE VIEWING (Concert),South Korea,291042.0,Trafalgar,,1,245,1188.0,291042.0,2026-06-12,2026-06-14
9,The Devil Wears Prada 2,USA,236668.0,Disney,-0.57,7,371,638.0,33885900.0,2026-06-12,2026-06-14
10,The Sheep Detectives,UK/USA,230729.0,Sony Pictures,-0.59,6,586,394.0,9587151.0,2026-06-12,2026-06-14
11,The Amazing Digital Circus: The Last Act,Australia/USA,206378.0,Piece of Magic,-0.92,2,379,545.0,2940072.0,2026-06-12,2026-06-14
12,Tuner,Canada,165222.0,Black Bear,-0.62,3,417,396.0,1513687.0,2026-06-12,2026-06-14
13,The Super Mario Galaxy Movie,USA/Japan,56477.0,Universal,-0.61,11,302,187.0,38345397.0,2026-06-12,2026-06-14
14,Main Vaapas Aaunga,India,48918.0,Content Creation Media,,1,85,576.0,48918.0,2026-06-12,2026-06-14
15,Savage House,UK,31110.0,Paramount,-0.75,2,171,182.0,274703.0,2026-06-12,2026-06-14
